	n_cells	frac_unique	sem_frac_unique	std_frac_unique
0	100	1.0	0.0	0.0
1	200	0.9999497487437187	5.025125628140734e-05	0.0005025125628140734
2	500	0.9999799599198397	2.0040080160320365e-05	0.00020040080160320365
3	1000	0.9999099099099099	2.879114026673091e-05	0.0002879114026673091
4	2000	0.9997698448748786	3.2142200253457335e-05	0.0003214220025345734
5	5000	0.9994956340828878	3.361240129016599e-05	0.00033612401290165987
6	10000	0.9990429894527821	3.085010586030431e-05	0.00030850105860304313
7	20000	0.9980390394964621	3.350042066284962e-05	0.00033500420662849623
8	50000	0.995174340219949	2.9748589900883546e-05	0.0002974858990088355
9	100000	0.9905408960429741	3.08049845131888e-05	0.000308049845131888
