symbol_ensembl	Gag	GagMCP	GagZipMCP	EPN24MCP	No_Exporter_Psi	No_Exporter_MS2x8	NoDNA	Wildtype
EGFP	198592	98788	93438	62364	0	0	0	0
TSPAN6_ENSG00000000003	2691	2615	2802	2800	2464	3358	3184	2991
TNMD_ENSG00000000005	7	2	8	7	5	8	10	11
DPM1_ENSG00000000419	1514	1543	1533	1536	1263	1936	1291	1139
SCYL3_ENSG00000000457	535	614	653	625	522	686	614	557
C1orf112_ENSG00000000460	1251	1429	1486	1350	1005	1786	1077	1056
FGR_ENSG00000000938	0	3	0	0	0	0	0	0
CFH_ENSG00000000971	1	0	0	5	0	0	2	2
FUCA2_ENSG00000001036	2981	3085	2986	3365	2614	3675	3548	3123
GCLC_ENSG00000001084	845	975	982	1027	705	1117	1035	951
NFYA_ENSG00000001167	1143	1275	1242	1247	1085	1562	1596	1607
STPG1_ENSG00000001460	828	906	942	879	705	1027	850	678
NIPAL3_ENSG00000001461	1190	1236	1274	1202	1005	1521	1594	1517
LAS1L_ENSG00000001497	3177	3384	3335	3275	2634	3904	3395	3026
ENPP4_ENSG00000001561	623	621	581	658	556	749	665	616
SEMA3F_ENSG00000001617	341	338	336	319	275	379	372	533
CFTR_ENSG00000001626	13	17	17	7	4	7	0	4
ANKIB1_ENSG00000001629	726	668	716	786	536	864	772	786
CYP51A1_ENSG00000001630	178	212	227	243	181	217	231	316
KRIT1_ENSG00000001631	592	541	647	629	425	700	595	545
RAD52_ENSG00000002016	620	720	741	573	368	754	374	415
MYH16_ENSG00000002079	3	2	6	0	1	4	2	0
BAD_ENSG00000002330	1064	1052	1151	1159	1016	1239	1091	988
LAP3_ENSG00000002549	1819	1819	1984	1989	1569	2258	2219	1849
CD99_ENSG00000002586	3406	3444	3472	3713	3394	4305	4084	3988
WNT16_ENSG00000002745	6	0	4	3	3	2	8	3
HECW1_ENSG00000002746	8	14	12	1	18	18	15	17
MAD1L1_ENSG00000002822	68	93	102	67	71	71	36	41
LASP1_ENSG00000002834	1198	1200	1241	1176	1031	1350	1412	1616
SNX11_ENSG00000002919	848	827	879	828	667	1030	758	775
TMEM176A_ENSG00000002933	0	0	0	0	0	1	0	0
M6PR_ENSG00000003056	1176	1210	1324	1144	1059	1460	1135	1112
KLHL13_ENSG00000003096	400	459	420	469	363	492	539	613
CYP26B1_ENSG00000003137	290	216	262	278	188	262	302	398
ICA1_ENSG00000003147	404	382	329	381	304	497	402	423
DBNDD1_ENSG00000003249	1005	931	945	926	707	927	903	1106
ALS2_ENSG00000003393	1184	1210	1312	1207	923	1417	1278	1175
CASP10_ENSG00000003400	173	149	173	127	130	196	143	160
CFLAR_ENSG00000003402	959	1002	1027	838	726	1016	949	964
TFPI_ENSG00000003436	158	134	186	178	153	221	176	264
NDUFAF7_ENSG00000003509	586	554	617	554	385	647	419	440
RBM5_ENSG00000003756	4850	4574	5437	5041	3520	5774	3426	3678
MTMR7_ENSG00000003987	130	121	107	117	127	149	136	142
SLC7A2_ENSG00000003989	477	567	548	534	491	738	894	1022
ARF5_ENSG00000004059	3701	3611	3874	4014	3813	4756	4309	3779
SARM1_ENSG00000004139	867	902	920	823	756	1014	1117	916
POLDIP2_ENSG00000004142	4529	4906	4846	4832	4010	5320	4828	3835
PLXND1_ENSG00000004399	418	416	421	522	373	537	646	1027
AK2_ENSG00000004455	9749	10428	10892	10571	8936	13035	10910	10417
CD38_ENSG00000004468	3	20	9	7	0	1	14	2
FKBP4_ENSG00000004478	5906	6235	6175	7078	5821	7585	7159	6241
KDM1A_ENSG00000004487	3742	4109	4044	4177	3410	5131	4985	5066
RBM6_ENSG00000004534	2381	2449	2648	2354	1596	2631	1827	1745
CAMKK1_ENSG00000004660	474	536	474	518	464	598	556	584
RECQL_ENSG00000004700	1137	1336	1274	1362	1049	1595	1421	1301
VPS50_ENSG00000004766	671	730	722	718	566	876	713	579
HSPB6_ENSG00000004776	23	21	38	39	21	33	20	39
ARHGAP33_ENSG00000004777	480	455	504	545	311	614	460	587
NDUFAB1_ENSG00000004779	1900	1771	1848	1995	1729	2317	1865	1896
PDK4_ENSG00000004799	54	75	53	67	64	83	91	152
SLC22A16_ENSG00000004809	0	0	0	0	2	3	0	0
ZMYND10_ENSG00000004838	66	56	83	63	36	64	20	28
ABCB5_ENSG00000004846	1	3	6	0	1	1	1	2
ARX_ENSG00000004848	2	1	0	9	0	1	3	1
SLC25A13_ENSG00000004864	2757	2816	3026	2915	2391	3545	3122	2598
ST7_ENSG00000004866	617	603	591	563	559	766	597	430
CDC27_ENSG00000004897	4534	4895	5214	5174	3752	5921	5031	4965
SLC4A1_ENSG00000004939	1	2	2	4	4	6	1	2
CALCR_ENSG00000004948	11	9	16	4	8	6	23	7
HCCS_ENSG00000004961	1200	1288	1298	1166	975	1442	1221	1122
DVL2_ENSG00000004975	3503	3571	3647	3499	2946	3887	3586	3483
PRSS22_ENSG00000005001	0	0	0	3	0	3	3	1
UPF1_ENSG00000005007	6319	6696	6872	6911	5331	7457	6984	6054
SKAP2_ENSG00000005020	1413	1524	1567	1507	1357	1891	2271	2077
SLC25A5_ENSG00000005022	14076	14279	14134	15263	13395	17888	16617	17847
MCUB_ENSG00000005059	801	880	890	928	867	1099	1064	1105
HOXA11_ENSG00000005073	547	555	594	493	479	640	633	770
POLR2J_ENSG00000005075	1088	1122	1244	1255	1038	1330	1356	1137
