"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGFP",56992.4222342899,18.6015824452053,2.04863002045008,9.08001067031057,1.08564208521609e-19,3.34214915933772e-15
"TSPAN6_ENSG00000000003",2843.73150308088,-0.0313753844995776,0.22198834093277,-0.141337983642482,0.887602944174077,1
"TNMD_ENSG00000000005",7.14874478962504,0.0381664175951766,2.54707675542129,0.0149844002596081,0.988044625776157,1
"DPM1_ENSG00000000419",1457.65252668802,-0.103100595179348,0.26426537998512,-0.390140377771593,0.696432746673012,1
"SCYL3_ENSG00000000457",597.223042293102,0.0964478833256075,0.351298116654615,0.274547111849256,0.783664203889384,1
"C1orf112_ENSG00000000460",1289.43719196373,-0.172972504976007,0.268565966791354,-0.644059658945497,0.519536748466761,1
"FGR_ENSG00000000938",0.380808742778108,0,7.0668509597078,0,1,1
"CFH_ENSG00000000971",1.23341447175989,4.99494030461909,6.79666604039178,0.734910362659391,0.462394086870178,1
"FUCA2_ENSG00000001036",3149.07161923008,0.103662272322924,0.222957378703115,0.464942102055111,0.641972919181051,1
"GCLC_ENSG00000001084",944.79420050711,0.109607164049713,0.298003936434274,0.367804416818123,0.713019075395902,1
"NFYA_ENSG00000001167",1333.08542873526,-0.0941328776351519,0.266706187176778,-0.352945983861854,0.724128936265289,1
"STPG1_ENSG00000001460",845.360093264683,0.00629913474188763,0.322977372727319,0.0195033314213186,0.984439579459591,1
"NIPAL3_ENSG00000001461",1304.58799012294,-0.108783144595307,0.268605981041008,-0.404991520195148,0.685483744117029,1
"LAS1L_ENSG00000001497",3239.84229137332,-0.0226581246088336,0.220546728974936,-0.102736162599848,0.918172371882028,1
"ENPP4_ENSG00000001561",630.073579355648,0.0439221445318608,0.343267324973271,0.127953176246183,0.89818602830012,1
"SEMA3F_ENSG00000001617",359.027977757305,-0.017840881495704,0.463881944998663,-0.0384599609621698,0.969320954372401,1
"CFTR_ENSG00000001626",8.57943454644334,0.230798836070758,2.64207118409225,0.0873552678899736,0.930389124451688,1
"ANKIB1_ENSG00000001629",724.201068283621,0.0942982391845054,0.32534357234965,0.289842023014249,0.771937097367973,1
"CYP51A1_ENSG00000001630",224.427523553778,0.394061818750372,0.547504992553915,0.719741050966885,0.471684445992975,1
"KRIT1_ENSG00000001631",577.897796422543,0.0765054132010752,0.354793126617017,0.215633865093613,0.829273156219766,1
"RAD52_ENSG00000002016",562.884833241947,-0.165228968388964,0.36170525598762,-0.456805549971382,0.647810816281086,1
"MYH16_ENSG00000002079",2.17698240702169,-4.21172385081515,5.17220140598384,-0.814300047546971,0.415473082496097,1
"BAD_ENSG00000002330",1091.10885603623,0.134504495154084,0.285667823843508,0.470842299788607,0.637753355105612,1
"LAP3_ENSG00000002549",1922.25330510461,0.0477978711840741,0.253607220885278,0.188472043568885,0.8505066287868,1
"CD99_ENSG00000002586",3707.58282489197,0.017372071038478,0.210401743246324,0.0825661934660874,0.934196483164773,1
"WNT16_ENSG00000002745",3.62759046247826,0.815737480399095,3.70016762986005,0.220459601293779,0.82551323186895,1
