"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGFP",56992.4222342899,19.3051201474408,2.04862701715395,9.42344310886829,4.36533381610364e-21,1.34386801528751e-16
"TSPAN6_ENSG00000000003",2843.73150308088,-0.0900758898450938,0.222106758193,-0.405552224425438,0.685071638553402,1
"TNMD_ENSG00000000005",7.14874478962504,-1.7292660788842,2.68903712227055,-0.64308003209121,0.520172170431197,1
"DPM1_ENSG00000000419",1457.65252668802,-0.0566253770616441,0.264253748664272,-0.214284101352845,0.830325515379893,1
"SCYL3_ENSG00000000457",597.223042293102,0.110745722153163,0.351383021970253,0.31517095371369,0.752631858115613,1
"C1orf112_ENSG00000000460",1289.43719196373,-0.0510106263462966,0.268407237379229,-0.190049369921514,0.849270443851779,1
"FGR_ENSG00000000938",0.380808742778108,4.29806920366722,6.81704829714108,0.630488301728731,0.528375154183312,1
"CFH_ENSG00000000971",1.23341447175989,0,7.06685095918909,0,1,1
"FUCA2_ENSG00000001036",3149.07161923008,0.0182416328841586,0.223083240048388,0.0817705215335847,0.934829197958299,1
"GCLC_ENSG00000001084",944.79420050711,0.0745604818172752,0.29818523447754,0.250047531521522,0.802550591004729,1
"NFYA_ENSG00000001167",1333.08542873526,-0.0221817243927456,0.266637460841757,-0.0831905776582156,0.933700004709544,1
"STPG1_ENSG00000001460",845.360093264683,0.0898623891761757,0.322868111287737,0.278325378179238,0.780762596485072,1
"NIPAL3_ENSG00000001461",1304.58799012294,-0.028625926411875,0.268517299971464,-0.106607382149743,0.915100461856257,1
"LAS1L_ENSG00000001497",3239.84229137332,0.0644919089740737,0.22050031498565,0.292479894998203,0.769919729642552,1
"ENPP4_ENSG00000001561",630.073579355648,0.000343205490715311,0.343541733167565,0.000999021247144693,0.99920289650358,1
"SEMA3F_ENSG00000001617",359.027977757305,0.1055413016193,0.463486448571997,0.227711731258752,0.81987035179218,1
"CFTR_ENSG00000001626",8.57943454644334,1.55081779303194,2.60876221191239,0.594464986479198,0.552201154045529,1
"ANKIB1_ENSG00000001629",724.201068283621,-0.100467586324138,0.326061665240059,-0.308124496175193,0.75798760217513,1
"CYP51A1_ENSG00000001630",224.427523553778,0.237085166755936,0.548647600034682,0.432126499306567,0.665649475928901,1
"KRIT1_ENSG00000001631",577.897796422543,-0.101010624696734,0.355550857330211,-0.284096135937375,0.776336708098201,1
"RAD52_ENSG00000002016",562.884833241947,0.204148148909016,0.360678633000191,0.566011208401435,0.571386161166603,1
"MYH16_ENSG00000002079",2.17698240702169,-0.729168642226213,4.86106183395211,-0.15000192697269,0.88076309495794,1
"BAD_ENSG00000002330",1091.10885603623,0.0346740114105573,0.28598734483245,0.121243167004021,0.903498433963649,1
"LAP3_ENSG00000002549",1922.25330510461,-0.0411844852292805,0.253799961741985,-0.162271439863923,0.871092104263115,1
"CD99_ENSG00000002586",3707.58282489197,-0.05121272599864,0.210505765560033,-0.243284196337297,0.807785246174464,1
"WNT16_ENSG00000002745",3.62759046247826,-3.17196707532792,4.14245967137758,-0.765720689387685,0.443842513852378,1
