"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EGFP",56992.4222342899,19.7880851323457,2.04862443292362,9.65920586239706,4.49333548778816e-22,1.38327332991558e-17
"HSPA6_ENSG00000173110",158.543845298955,-3.26138515571374,0.673296074484549,-4.84390935772281,1.273090282779e-06,0.0195960421776757
"mTagBFP2",334092.592971593,-0.767034159114788,0.182738428435571,-4.19744311955285,2.69945427280539e-05,0.27700899929438
"MT-ND2_ENSG00000198763",23767.4285434802,0.855777407609025,0.212239122171233,4.03213789641757,5.52717379246304e-05,0.425385113002436
"TSPAN6_ENSG00000000003",2843.73150308088,-0.126597351764204,0.222561947203694,-0.56881849460249,0.569479322218953,1
"TNMD_ENSG00000000005",7.14874478962504,0.231697036801999,2.57753500674755,0.0898909369593254,0.928373883254003,1
"DPM1_ENSG00000000419",1457.65252668802,0.00777316007682111,0.265384155739085,0.0292902191360036,0.976633127555886,1
"SCYL3_ENSG00000000457",597.223042293102,-0.218248072846817,0.353445632872472,-0.617486969843433,0.536913573224495,1
"C1orf112_ENSG00000000460",1289.43719196373,0.0621488446836117,0.27047240287483,0.229778875859557,0.818263600183006,1
"FGR_ENSG00000000938",0.380808742778108,0,7.0668509597078,0,1,1
"CFH_ENSG00000000971",1.23341447175989,2.18863874076596,6.91805557268377,0.31636616933346,0.751724592203674,1
"FUCA2_ENSG00000001036",3149.07161923008,-0.0642002606101301,0.223650508170409,-0.287056180356242,0.774069303756134,1
"GCLC_ENSG00000001084",944.79420050711,0.00759069378790145,0.300552481124626,0.0252558014477143,0.979850928009688,1
"NFYA_ENSG00000001167",1333.08542873526,-0.178607043795574,0.268085562484642,-0.666231490201217,0.505263147927913,1
"STPG1_ENSG00000001460",845.360093264683,-0.0217297629657699,0.324631909794118,-0.0669366205544949,0.946632159414074,1
"NIPAL3_ENSG00000001461",1304.58799012294,-0.0099713573274933,0.269943005628561,-0.0369387504754015,0.970533842406988,1
