"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","mCherry-A"
295921,209792,1444.4,373822,302828,335.982
227092,216124,1075.99,212220,151899,5510.03
250385,210844,1216.06,202549,148958,3273.31
326413,238220,1403.13,260949,175911,3254.64
272725,244467,1142.38,301081,202442,5840.17
416531,265456,1606.82,418854,285228,4715.62
349592,290578,1231.97,554236,363084,11360.3
244311,245026,1021.02,282134,185327,11731.3
194004,218859,907.718,244870,165724,1845.78
195616,207312,966.229,187980,134999,1522.23
261360,237788,1125.53,367343,207430,5311.72
218044,208036,1073.28,300626,208079,8244.09
329887,254478,1327.47,361970,258911,2700.52
206688,195152,1084.53,224102,154884,548.044
359002,229218,1603.8,391173,242915,6340.09
307491,229514,1371.91,215170,139819,2401.6
300693,239191,1287.33,329205,216739,6623.52
281228,240643,1196.71,289168,202973,1240.13
241795,185466,1335.01,311292,247079,439.854
348582,245645,1453.13,460167,295580,3864.24
490522,311608,1611.94,426559,248902,10927.9
202679,221073,938.804,187622,129200,9562.2
207732,229094,928.541,341309,212142,2561.93
240834,213453,1155.38,438806,267640,3889.29
401254,272639,1507.1,465534,290870,6444.35
207503,235934,900.622,162368,119298,5295.33
273461,221356,1265.06,357308,266110,14818.8
249647,284958,897.127,451444,294586,2769.42
450864,273952,1685.32,250949,175260,17646
197399,189923,1064.32,245548,173886,1817.3
428222,285997,1533.26,467929,296678,5118.19
472740,298042,1624.23,501198,317621,4740.17
262012,227527,1179.24,228964,166261,2864
194461,208646,954.407,223212,159558,6519.34
173681,154667,1149.9,221132,196597,1185.35
201280,217413,948.034,313868,200692,4683.67
353678,260725,1389.1,270579,184290,1346.35
191287,171667,1141.05,186930,139027,1895.68
400007,281889,1453.08,279566,192000,8536.64
207854,191889,1109.2,176500,124430,2188.1
280912,246801,1165.54,176673,101191,8457.58
251401,204609,1258.18,165404,117452,623.691
270357,220284,1256.79,167542,122762,1317.1
252966,192293,1347.13,229506,155714,2140.35
435179,302560,1472.84,255017,181500,4194.47
238531,203277,1201.62,194206,136181,10593.1
394498,301182,1341.29,292374,194210,11217.7
397875,292275,1393.99,265323,170426,11498.2
381037,260912,1495.5,346670,214148,6360.04
344589,216707,1628.3,273849,162710,5963.87
306208,256625,1221.85,398978,276923,13693
274720,194531,1446.13,263316,169501,3337.13
231338,213024,1112.03,226194,167654,2305.05
247933,197614,1284.78,218557,156832,4181.61
267957,285410,961.387,470308,307510,7856.97
199896,210103,974.286,194289,143648,2476.85
172178,182021,968.653,270034,175242,5307.27
242992,247225,1006.47,301325,208414,4482.03
264494,230725,1173.9,258653,181840,4314.31
227620,246167,946.873,400832,248518,11296.8
