"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
249079,259393,983.285,197558,138579,560.3,1061.7,-383.9,678.7,-19.1,367.7,674,800.8,422.1,372.9,2856.6,2247.6,655.9,566.5,473.2,354,94.7,338.4,3307.5,2328.8,6468.8,4442.1,4000,2868.5,797.3,837.6,0
220286,241292,934.868,197270,126123,383.1,1436.2,89.8,648.5,179.5,405.2,665.4,375.8,317.3,339.6,2122.5,1719.3,286.4,355.1,104.5,405.7,678.4,451.6,2562.3,1934,5337.2,3569.3,2896.8,2036.3,539.4,694.2,0.000852404
153278,245424,639.551,244671,159748,496.3,1088.5,333,886.1,302.5,454.7,749.7,535.5,4.5,378.1,2401.4,1696.9,193.1,333.8,408.8,480.8,251.1,354.1,4206,2744.1,6691.7,4130.3,3503.4,2437.6,842.4,538.1,0.0060263
214869,243317,904.295,211592,130423,934.6,1026,-94.7,902.4,274.7,444.2,725.6,456.9,139.6,355.6,3193.9,2427.7,256,389,301.2,543.3,86.7,402.3,4669.6,3029.4,8073.4,5414.6,4070,2416.3,753.5,615.2,0.0146296
195199,220360,907.078,158902,118509,989.1,1141.4,213,1041.5,32.1,382.5,449.1,462.9,179.3,281.4,1478.8,1395.3,494.8,421.6,290.8,456,445.1,542.2,6452,4663.6,10345.5,7039.2,3992.3,2865.5,911.3,813.3,0.0199819
259090,218642,1213.45,203920,138111,746.2,1276.7,231.4,888.4,78.3,429.6,438.6,308.8,143.6,253.3,2220.3,1976.7,572.7,569.6,440.5,552.8,865.9,726.4,5095.4,3121,8362.6,5163.5,3807.9,2580.4,836.6,595.2,0.0263254
194214,242840,818.953,184867,124222,678.6,1021.5,-85.9,985.4,-69.7,374.9,372.8,339.4,-73,230.6,884.8,780.7,448.2,344.4,305.9,556.7,348.3,471.9,2240.9,1605,4024.8,2517.7,1999.9,1390.4,359,564.5,0.027039
294711,258380,1168,198967,143052,594.2,1447.8,167.8,815.4,163.4,451.1,329.7,517.2,53.6,274.5,898.2,1036.4,42.9,321.1,-22.9,247.5,72.5,284,5865.8,4119.2,8486.2,6128.2,2850.4,2052.9,704.2,581.9,0.0280302
220336,271981,829.572,454630,270920,639.5,912.7,107.3,1132.1,0.1,374.9,582.2,455.8,139.1,315.5,4528.7,2972.3,664.5,500.9,824.7,569.4,183.4,501.7,1367.4,1001,4358.7,2552.9,5054.6,2892.7,872.8,705.5,0.0521552
312953,265679,1206.24,232224,142767,733.4,1006.8,43.6,896.7,397.5,566.2,2257.8,1911.6,570.4,663.6,6433,5541.4,609.2,473.9,1061.1,861.3,1138.6,870.5,6194.3,3777,11513.9,7079.5,7188.5,4980.7,1560.9,1034.2,0.0530275
193612,214468,924.436,209234,146114,182.4,835.4,-183.3,964.4,101.9,425.7,314.2,346.8,160.9,178.8,1393,1026.4,145.7,293.8,204.9,276.1,371.1,407.6,246.6,508.4,1009.4,797.7,596,705.9,309.4,252.9,0.0656748
276688,244039,1161.03,206499,130666,650.8,1018,-13.8,922.2,62.1,387.1,384,396.2,289,367.8,1860.1,1033.1,188.4,358.9,431.8,376.7,446.3,372.8,2134.4,1374.5,4451.2,2829,2675.7,1710.8,365.5,480.1,0.0670624
