"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
392103,276580,1451.73,316799,193087,655,967.4,414.6,1444.8,2051.2,1511.3,4699.5,2962.7,1088.6,772.7,3749.1,2267.1,368.9,369.4,358.9,472.4,518,450.5,1485.9,1114.3,4221.7,2704,4025.6,2917.1,960.8,688,0.021953
384804,276650,1424.33,332194,192023,712.5,1299.6,101.4,1217,2549.9,1557.9,5766.1,3275,1341.6,947.7,5142.1,3103.2,737.5,735.2,1161,616.2,711.4,633.9,2049.5,1296.1,5488.6,3497,5476.7,3323.9,1110.1,834.2,0.0338893
264914,219773,1234.36,363300,185751,478.7,1010,-85.4,749,845.5,790.1,2590,1697.6,712.2,490.7,2883.5,1668.1,1017,651.4,760.7,649.7,373.1,378.8,633.9,702.6,2444.3,1493.2,2911.5,1558.8,674.3,462,0.0342891
388453,255606,1556.24,226591,147134,129.2,1258.6,-102.3,1212.2,1110.9,1133.3,2769.2,1888.2,706.4,616.7,1699.8,1107.1,-340.9,182,29.6,343.3,471.6,434.6,599.8,653.1,2187,1624.4,2187,1572.4,331.7,551.7,0.0480048
330788,240581,1407.98,257110,167417,-96.8,850.2,184.5,1374.5,1404.3,1017.5,3878.4,2300.2,575.6,661.1,2723.6,1854,222.2,451.5,452.8,410.9,243.8,367.6,1125.4,738.5,3388.8,2174.5,2772.9,2366.3,530.5,594,0.053723
233003,275100,867.314,320629,192371,336.6,1133.3,202.9,1217.7,2293.7,1777.5,4572.7,2891.4,857.8,581.4,4704.5,3015.8,76.3,398.2,525.1,627.5,659.9,630.6,1674.2,1032.1,4592.7,2874.5,4478.3,2512.7,1079.3,594.6,0.103327
198936,252236,807.629,202717,128550,-157.6,733.1,-177.8,880,1023.3,889.6,2221.2,1521.3,354.5,387.3,2928.4,2014.6,622.1,705.9,348.6,410.7,283.7,454.9,633.8,922.2,2595.4,1927.4,2430.2,1778.1,620,495.2,0.111065
249929,254595,1005.24,347327,172220,351.5,848.1,170.1,927.9,1582.9,1146.9,3417.9,2237.9,1042.2,726.4,4799.2,2975.7,210.4,312.6,453.5,492.3,889,587,1196.7,850.7,3173.9,1990.3,3799.7,2305.9,869.8,683.8,0.212993
389780,319693,1248.51,400717,230351,1187.7,1370,190.1,1157,2226.5,1542.1,4619,2993.6,1195.7,818.7,6065.5,3892.1,772.5,747.4,748.2,681.7,164.6,354.8,1589.4,1070.6,6009.8,3637.2,5804,3702.8,1118.8,806,0.217191
385993,272084,1452.72,348800,208025,485.5,988.2,626.9,1007.5,1755.1,1272.4,3689.6,2325.4,836.4,590.8,4199.8,3028.4,426.9,432.4,139,626.1,783,433.7,1919.5,1216.2,4645.8,3153.8,4817.8,2903.6,890.2,726.7,0.225269
203086,235311,883.791,208266,122271,204.3,847.8,224.9,1214,1945.3,1429.2,4740.8,3300,1060,831.7,4853,3443.1,96.2,599.4,373.9,517.8,228.1,299.9,1610.6,1208.1,4575.2,3238.4,5024.9,3459.7,1284.3,1138.3,0.228388
271165,246168,1128.02,320319,176365,760.9,1486.5,42.1,878.6,1821.3,1298.9,6021.6,3192,1416.7,1015.7,11260.9,7057.8,1709.2,1186.7,1706.4,1109.5,1287.6,853.5,2333.3,1669.7,7014.4,3980.4,7554.1,4682.8,1559.8,1362.7,0.231187
346841,259274,1369.85,218378,136774,355.3,1098.7,34,1305.2,1703.2,1015,3695.4,2283.5,869.7,522.1,2658.7,2347,388.1,352.6,361.4,298.9,252.3,431.5,1297.3,1165.4,3208.6,2202.4,2422.1,1975.9,279.7,382.8,0.249361
339287,276712,1255.6,241054,160893,391.6,1109.3,-37.4,897.4,1815.6,1240.4,3921.1,2699.6,918.8,580.4,4370.5,3023.5,451,602.4,804.3,518.5,646.5,582.5,1321.9,1302.4,4394.8,3062.8,3733.3,2527.4,946.5,875.9,0.25162
379215,266129,1459.13,250299,151822,462.4,1332.2,211.3,1227.5,2086.1,1550.8,5981.1,3734.5,1340.5,823.2,4446.7,2716.2,617.8,532.4,232.5,459.2,338,500.4,1940,1607.6,5039.4,3447.7,4447,2851.7,960.2,705.4,0.2518
219882,235924,954.388,198865,133439,341,967.4,-500.4,788.8,2061.2,1335.3,3951.5,2554.7,632.6,724.7,3488.1,2395.1,-37.6,257.4,339.4,360.4,192,362.5,1635.9,1122.3,3758.7,2456,2879.6,2133.1,351.3,600,0.255619
362360,263595,1407.69,225253,131995,228.1,934.3,-287.6,684.5,714.7,600.6,1269.6,1036.5,281.8,338,4515.1,2985.2,-66.7,350.4,233.7,415,151.9,499.3,929.3,673.1,2950.9,2080.4,3358.2,2378.8,678.7,822.1,0.258658
