"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
270231,199057,1390.14,181506,125575,858.1,917.4,451.1,897.4,7787.4,4880.9,15400,9788.8,2965.5,2016.2,3265.9,2680.3,7.5,388.6,180.4,327.1,280.8,356,594.6,526.8,1740.1,1406.6,2533.7,1894.6,556.3,495.4,0.211027
306505,240972,1302.5,259855,153377,886.8,1016.4,-81.1,775.3,15004.5,8586.6,29579.2,16358.6,5472.1,3501.1,9793,5386.4,1092,772.8,879.3,683.3,735.5,492.8,515.7,683.7,3335.5,2035.4,4495.8,2691.1,921.8,824,0.219109
345752,245112,1444.44,192390,133518,540.4,1096.8,803.1,1135.1,13748.3,8619.8,26551.6,16818.7,4861.4,3137.3,7517.3,5258.9,706.8,540.4,425.1,664.9,447.7,488.4,563.8,696.5,2800.5,2230.4,3779.7,2715.2,988.4,858.9,0.228127
367634,289916,1298.52,433096,278395,1530.1,1628.4,1464.9,1133,35384.9,22425.4,68474.3,42213.8,13192.2,7763.4,19446.2,12114.8,852.9,870.2,640.2,738.2,563.5,658.6,536.6,515.8,3877.4,2973.5,8039.2,4844.1,1964.5,1537.4,0.245008
272214,269056,1036.02,587060,277261,4474,2419,1678.9,2020.5,47542.9,22124.9,89959.9,42444.4,17787.9,7954.5,30335.1,14814.8,1491.3,791.9,1500.6,775.7,1055.3,875.6,470.4,536.3,6680.5,3526.8,13679,6546,2993.9,1838.6,0.256621
262160,265766,1010.12,228823,143812,1007.5,1176.1,926.7,1096.1,17870.7,11414.7,34737.5,21419,6450.3,4115.2,11314.3,7638.5,1058.5,505.9,639.5,695.3,594.5,500.7,613.3,686.8,3804,2575.4,5235.4,3621.8,1380.6,895.1,0.25698
245973,301751,834.735,496319,216695,3298.2,2358.3,1896.8,1544.4,51185.2,23509.1,95305.7,43363.4,18511.3,8658,35379.1,16135.5,1476.6,868.7,1544.6,902.8,1092.5,602,1215.5,640.7,7748.2,3500.8,16282.5,7144.8,3668.3,1993.1,0.281283
203255,289070,720.023,260169,174314,393,1037.7,-255.7,942.1,7078.9,4197.6,14766.1,8161.3,2279.5,1412.9,7258.4,4338.2,492.2,523.4,227.6,393.2,422.7,601.2,408.2,516.7,2448.1,1816.5,3652.6,2258.3,1093.8,869.2,0.284935
159850,202738,807.382,270203,164492,590.7,1268.1,150.4,854.1,1826.3,1194.9,4368,2726.3,1117.9,609.5,4306.4,2881.1,556.9,561.8,458.5,463,587.4,492.6,278.8,395.7,2322.5,1749.8,3896.9,2591.9,854.6,552.4,0.294512
230554,296679,795.782,339001,199281,175.9,831.4,392,1370.1,5981.8,3503.7,11621.9,6611.6,2388.5,1643,7057.4,4437.5,760.8,495.9,677.5,744.2,536.3,590.7,881.5,532.8,3131.7,1975.5,3931.8,2375.8,1110.9,751.3,0.296228
