"FSC-A","FSC-H","FSC-Width","SSC-A","SSC-H","GFP-A","GFP-H","PE-A","PE-H","mCherry-A","mCherry-H","PC5.5-A","PC5.5-H","PC7-A","PC7-H","PerCP-A","PerCP-H","APC-A","APC-H","APC-A700-A","APC-A700-H","APC-A750-A","APC-A750-H","PB450-A","PB450-H","KO525-A","KO525-H","Violet610-A","Violet610-H","Violet660-A","Violet660-H","Time"
272159,238623,1167.94,194639,121795,492.5,976.1,-391.7,1140.1,483.4,645.9,531.6,693.8,367.4,387.4,2122.3,1609.8,285.6,428.4,84.6,182.2,16.2,177.4,337.7,579.5,1843,1703.5,2450.7,2009.8,692,547,0.0863742
183458,258593,726.474,364624,179006,537.9,1205.6,-320.1,841.7,396.6,448.4,984.1,581,301.8,386.1,3129.7,1769.6,614.2,505.4,629.1,587.1,577.4,450.3,662,633.7,2111.4,1361.5,3302.2,1797.4,817.6,544,0.0865527
262278,296227,906.654,512392,270899,638.4,1571.3,-262.9,880.4,447.8,496.3,1188.4,881,391.1,465.2,5025.8,3373.5,858.3,1091.7,859.1,564.5,910,673.6,445.1,790.1,2761.4,1806.4,3787.3,2698.5,906.1,613.9,0.0918086
153066,257184,609.445,294766,164673,249.8,1211.1,208.5,1136.9,-123,374.6,602.9,546.9,349.7,359.5,2272.4,1141.2,518.4,477,505.3,507.9,407.3,578.4,336.6,432.9,1136.4,864.9,1987.2,1244.8,715.2,436.3,0.0976991
137326,197052,713.64,202615,137289,132.4,1117.5,-5.2,722,0.1,312.6,541.8,636.5,-3.8,257.1,1764,1395.6,403.1,439.3,307.3,439.2,60,300.1,301.7,412.9,1180.5,1177.8,1607.7,1083.2,438.6,522,0.0977586
315736,292618,1104.91,364562,222137,519.7,1079.8,96.7,887.7,270.8,440.9,981.5,794.6,416,378.4,4724.4,3262.9,814.2,760.9,829.2,744.5,968.5,763.2,503.6,569.5,3155,2131.6,4544.7,2881.6,1084.7,802.2,0.0992857
233652,289536,826.378,326185,193168,510.1,895.6,-141.3,861.1,26.4,333.5,997.6,969.8,339.2,484.7,4174.4,2917.6,554.5,599,590.4,605.4,611.8,660.5,482.2,571.4,2319.6,1694,3505.9,2295,1113.5,1167.3,0.100139
264300,276739,977.982,413883,221258,402.2,1019.8,-147.8,1003,227.4,362.7,931.4,707.2,114.7,418.9,3600.4,2234,540,409.7,980.1,726.9,504.2,438.5,572.4,531.1,2101.2,1194.8,2712.9,1695.2,689.6,573.5,0.100773
208417,238792,893.772,186797,120070,507.5,826.4,592.9,1078.1,215.1,344.4,618.5,547.3,254.8,423.7,2031.2,1590.5,5.1,415,273.8,481.9,289.7,448,590.2,664.1,2070.9,1570.9,2053.2,1715,753.9,711.3,0.103074
229714,249280,943.626,366201,196155,4.6,957,17.6,1097.2,341.8,462.7,1146.8,749.3,504,544.1,3246.7,1915.1,908.6,676.8,1087.1,735.8,656.9,554.9,453.8,563.3,2085.4,1358.1,2482.4,1620.1,796.5,512.1,0.103193
260471,266308,1001.57,243688,151380,368.3,1154.4,-129.4,1029.3,246.1,427.2,346.1,495.5,355.7,468.8,3147.7,2134.8,112,381,492.7,742.2,22.9,359.5,547.4,514.2,2745.8,2068.8,3527.7,2415.4,554.9,486.1,0.103391
379126,279032,1391.33,317211,207401,-10.1,916.6,244.1,990.4,34.1,350.7,905,874.8,531.5,422.3,4233.6,3021.8,133.1,455.6,583.8,600.9,1031,702.7,498.4,802.1,2922.1,2191.1,3993.3,3064.6,1238.9,913.6,0.103411
384471,299821,1313.13,329947,197149,507.7,1144.8,155.5,1193.9,382.4,419.9,2386.1,2141.1,1021.4,895.7,12048.7,9592.7,931.8,742.1,1240.1,1112,902,939,792.6,712.4,5075.2,3901,7784,5529.8,1883.8,1681.6,0.104066
190398,249883,780.243,224487,132623,378.4,869.5,47.8,1170.4,462,466.8,886.9,768.7,303.3,355.6,3665.8,2325.6,1005.4,548.7,746,593.2,1166.4,624.4,666.8,599.2,3214.1,2372,3534.8,2601.1,836.1,526.8,0.10468
179759,226282,813.471,262838,153775,366.7,713,-227.6,710.7,238.7,407.3,650.2,660.2,156.1,361.6,2441.1,1619.9,637,711.5,694,781.8,406.7,667.2,199.4,570,1967.2,1360.7,2338.7,1596.8,282.9,359.5,0.105831
