Sample,Biological Set Name,cells,exporter,condition,description,simple_description,xticklabel,xticklabel_simple,color,legend_label,export_tag_plus_or_minus
Well1,Supernatant,cFH16 (mCh-MS2x8),pFH2.96-EPN1,,EPN1 + mCh-MS2x8,EPN1,EPN1 + mCh-MS2x8,EPN1,#969696,No RBD,+
Well2,Supernatant,cFH15 (mCh),pFH2.96-EPN1,,EPN1 + mCh,EPN1,EPN1 + mCh,EPN1,#bdbdbd,No RBD and no packaging signal,-
Well3,Supernatant,cFH16 (mCh-MS2x8),pFH2.97-EPN1-MCP,,EPN1-MCP + mCh-MS2x8,EPN1-MCP,EPN1-MCP + mCh-MS2x8,EPN1-MCP,#807dba,Exporter and packaging signal,+
Well4,Supernatant,cFH15 (mCh),pFH2.97-EPN1-MCP,,EPN1-MCP + mCh,EPN1-MCP,EPN1-MCP + mCh,EPN1-MCP,#41ab5d,No packaging signal,-
Well5,Supernatant,cFH16 (mCh-MS2x8),pFH2.98-EPN1-MCP_Myc,,EPN1-MCP_Myc + mCh-MS2x8,EPN1-MCP_Myc,EPN1-MCP_Myc + mCh-MS2x8,EPN1-MCP_Myc,#807dba,Exporter and packaging signal,+
Well6,Supernatant,cFH15 (mCh),pFH2.98-EPN1-MCP_Myc,,EPN1-MCP_Myc + mCh,EPN1-MCP_Myc,EPN1-MCP_Myc + mCh,EPN1-MCP_Myc,#41ab5d,No packaging signal,-
Well7,Supernatant,cFH16 (mCh-MS2x8),pFH2.99-EPN1-MCP_I,,EPN1-MCP_I + mCh-MS2x8,EPN1-MCP_I,EPN1-MCP_I + mCh-MS2x8,EPN1-MCP_I,#807dba,Exporter and packaging signal,+
Well8,Supernatant,cFH15 (mCh),pFH2.99-EPN1-MCP_I,,EPN1-MCP_I + mCh,EPN1-MCP_I,EPN1-MCP_I + mCh,EPN1-MCP_I,#41ab5d,No packaging signal,-
Well9,Supernatant,cFH16 (mCh-MS2x8),pFH2.100-EPN11,,EPN11 + mCh-MS2x8,EPN11,EPN11 + mCh-MS2x8,EPN11,#969696,No RBD,+
Well10,Supernatant,cFH15 (mCh),pFH2.100-EPN11,,EPN11 + mCh,EPN11,EPN11 + mCh,EPN11,#bdbdbd,No RBD and no packaging signal,-
