,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,40-1,,29.4340953394935,29.3070890987114,0.11088541881973,7.89476147388802,0.897339013110734,8.77607605108272,0.770463616985879,67,
,A02,SYBR,mCherry,Unkn-02,40-2,,28.4713681878136,28.5221844640683,0.0632007438928161,17.2575438085389,1.23697898452493,16.5741108526441,0.841276795848629,67,
,A03,SYBR,mCherry,Unkn-03,40-3,,28.7147426388042,28.8010490952133,0.30630044350217,14.161819298113,1.15111904857822,13.4679856015458,3.16358417899788,67,
,A04,SYBR,mCherry,Unkn-04,40-4,,28.2177391151212,27.7527281952301,0.443923085297332,21.2058967586864,1.32645664270539,32.2698959494416,11.145018114945,67,
,A05,SYBR,mCherry,Unkn-05,40-5,,29.3816402883888,28.7028846383852,0.590971860044354,8.23843275416589,0.915844601144311,15.3201108418434,6.20350345329117,67,
,A06,SYBR,mCherry,Unkn-06,40-6,,27.589320483287,27.6393491723519,0.0479482185104302,35.331013772477,1.54815609906734,33.9411453060958,1.32531093353556,67,
,B01,SYBR,mCherry,Unkn-01,40-1,,29.2576443284591,29.3070890987114,0.11088541881973,9.11148293769949,0.959589066242749,8.77607605108272,0.770463616985879,67,
,B02,SYBR,mCherry,Unkn-02,40-2,,28.5022316765073,28.5221844640683,0.0632007438928161,16.8302540516537,1.2260906716739,16.5741108526441,0.841276795848629,67,
,B03,SYBR,mCherry,Unkn-03,40-3,,28.5471613188811,28.8010490952133,0.30630044350217,16.2270647221483,1.21023996836212,13.4679856015458,3.16358417899788,67,
,B04,SYBR,mCherry,Unkn-04,40-4,,27.7070149699904,27.7527281952301,0.443923085297332,32.1095875583624,1.50663472717106,32.2698959494416,11.145018114945,67,
,B05,SYBR,mCherry,Unkn-05,40-5,,28.4244642990222,28.7028846383852,0.590971860044354,17.9277662532303,1.25352618112216,15.3201108418434,6.20350345329117,67,
,B06,SYBR,mCherry,Unkn-06,40-6,,27.6438238148135,27.6393491723519,0.0479482185104302,33.8008716043733,1.52892789933355,33.9411453060958,1.32531093353556,67,
,C01,SYBR,mCherry,Unkn-01,40-1,,29.2295276281815,29.3070890987114,0.11088541881973,9.32198374166063,0.969508341150393,8.77607605108272,0.770463616985879,67,
,C02,SYBR,mCherry,Unkn-02,40-2,,28.5929535278841,28.5221844640683,0.0632007438928161,15.6345346977398,1.1940849606534,16.5741108526441,0.841276795848629,67,
