,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A05,SYBR,mCherry,Unkn-09,Well13,RT,33.5135763191441,34.0370651253556,0.534528951761,34.0876986394822,1.5325976817243,25.8643877101657,7.97948580773361,67,
,A06,SYBR,mCherry,Unkn-11,Well14,RT,31.5506956987945,31.6800991991102,0.312043410600883,108.474025587214,2.03532575758902,101.605732903074,17.724491803886,67,
,B05,SYBR,mCherry,Unkn-09,Well13,RT,34.5819893345902,34.0370651253556,0.534528951761,18.1534181753463,1.25895841201245,25.8643877101657,7.97948580773361,67,
,B06,SYBR,mCherry,Unkn-11,Well14,RT,31.4535757088116,31.6800991991102,0.312043410600883,114.868218748656,2.06019988655331,101.605732903074,17.724491803886,67,
,C05,SYBR,mCherry,Unkn-09,Well13,RT,34.0156297223325,34.0370651253556,0.534528951761,25.3520463156687,1.40401301959582,25.8643877101657,7.97948580773361,67,
,C06,SYBR,mCherry,Unkn-11,Well14,RT,32.0360261897246,31.6800991991102,0.312043410600883,81.474954373351,1.91102412592874,101.605732903074,17.724491803886,67,
,D05,SYBR,mCherry,Unkn-10,Well13,No RT,39.030265639523,37.3478873416798,2.3792422058521,1.31727669577963,0.119677008696566,5.44957091321735,5.84394652601634,67,
,D06,SYBR,mCherry,Unkn-12,Well14,No RT,30.0919412710735,32.9318791379936,2.71904713050548,256.411969010137,2.40893829367726,102.700650746249,134.000084692373,67,
,E05,SYBR,mCherry,Unkn-10,Well13,No RT,NaN,0,0,NaN,NaN,0,0,67,
,E06,SYBR,mCherry,Unkn-12,Well14,No RT,33.1924163218732,32.9318791379936,2.71904713050548,41.1957465060422,1.61485237709339,102.700650746249,134.000084692373,67,
,F05,SYBR,mCherry,Unkn-10,Well13,No RT,35.6655090438365,37.3478873416798,2.3792422058521,9.58186513065507,0.981450053662128,5.44957091321735,5.84394652601634,67,
,F06,SYBR,mCherry,Unkn-12,Well14,No RT,35.5112798210341,32.9318791379936,2.71904713050548,10.4942367225665,1.02095085652183,102.700650746249,134.000084692373,67,
,G02,SYBR,mCherry,Std-02,,,7.74283890842514,7.74283890842514,0,155000000,8.19033169817029,155000000,0,67,
,G03,SYBR,mCherry,Std-03,,,12.2773032065285,11.925019230636,0.498204776513921,15500000,7.19033169817029,15500000,0,67,
,G04,SYBR,mCherry,Std-04,,,15.2885011275432,15.5016368346656,0.301419407638592,1550000,6.19033169817029,1550000,0,67,
,G05,SYBR,mCherry,Std-05,,,18.4135189776336,18.4838215076781,0.099422791458022,155000,5.19033169817029,155000,0,67,
,G06,SYBR,mCherry,Std-06,,,22.1189899210514,22.1885547170787,0.0983794780055442,15500,4.19033169817029,15500,0,67,
,G07,SYBR,mCherry,Std-07,,,25.9932459125192,26.1700090172081,0.249980779978203,1550,3.19033169817029,1550,0,67,
,G08,SYBR,mCherry,Std-08,,,32.1466646516181,32.0179171351984,0.182076483842478,155,2.19033169817029,155,0,67,
,G09,SYBR,mCherry,Std-09,,,36.1324669124844,37.3984538422706,1.79037588589079,15.5,1.19033169817029,15.5,0,67,
,G10,SYBR,mCherry,Std-10,,,35.0713873040398,35.0713873040398,0,1.55,0.190331698170291,1.55,0,67,
,G11,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,G12,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,H03,SYBR,mCherry,Std-03,,,11.5727352547435,11.925019230636,0.498204776513921,15500000,7.19033169817029,15500000,0,67,
,H04,SYBR,mCherry,Std-04,,,15.7147725417881,15.5016368346656,0.301419407638592,1550000,6.19033169817029,1550000,0,67,
,H05,SYBR,mCherry,Std-05,,,18.5541240377225,18.4838215076781,0.099422791458022,155000,5.19033169817029,155000,0,67,
,H06,SYBR,mCherry,Std-06,,,22.258119513106,22.1885547170787,0.0983794780055442,15500,4.19033169817029,15500,0,67,
,H07,SYBR,mCherry,Std-07,,,26.3467721218969,26.1700090172081,0.249980779978203,1550,3.19033169817029,1550,0,67,
,H08,SYBR,mCherry,Std-08,,,31.8891696187788,32.0179171351984,0.182076483842478,155,2.19033169817029,155,0,67,
,H09,SYBR,mCherry,Std-09,,,38.6644407720569,37.3984538422706,1.79037588589079,15.5,1.19033169817029,15.5,0,67,
,H10,SYBR,mCherry,Std-10,,,NaN,0,0,1.55,0.190331698170291,0,0,67,
,H11,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,H12,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
