,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,Well1,Supernatant,38.2061893265346,37.5115237061543,0.846699361105027,2.29799318040953,0.361348735529419,3.92885802063477,2.2107915284883,67,
,A02,SYBR,mCherry,Unkn-03,Well2,Supernatant,36.9339458540507,36.8138367237235,0.936629248139198,5.11992509054977,0.70926360687449,6.2057227392006,3.67941198636434,67,
,A03,SYBR,mCherry,Unkn-05,Well3,Supernatant,34.7581674759267,34.1311849464456,0.559308529838648,20.149497807335,1.30426422654556,31.08943154428,9.96259304747062,67,
,A04,SYBR,mCherry,Unkn-07,Well4,Supernatant,28.3126239816359,28.375853887207,0.293757515683797,1166.53797880279,3.06689888262054,1133.58342517452,202.824436526091,67,
,A05,SYBR,mCherry,Unkn-09,Well5,Supernatant,27.3297582462281,26.0627202625908,1.10524067976144,2166.10191758917,3.33567888682544,5517.50386502417,2963.38561303599,67,
,A06,SYBR,mCherry,Unkn-11,Well6,Supernatant,37.6879970635215,36.706724604808,0.92469247964285,3.18461189341869,0.503056512710009,6.56737821895554,3.47180961089979,67,
,A07,SYBR,mCherry,Unkn-13,Well7,Supernatant,35.5677204140837,34.7796239390592,0.690123189028848,12.102617752468,1.08287931680339,21.054338543664,7.92417973854643,67,
,A08,SYBR,mCherry,Unkn-15,Well8,Supernatant,35.2370599319457,34.970729312096,0.452967340472597,14.9040258832034,1.17330359611005,18.132878068539,5.51406060971503,67,
,A09,SYBR,mCherry,Unkn-17,Well9,Supernatant,23.9390950951978,23.6957926477413,0.324912576998797,18319.2945055439,4.26290874453658,21661.2629479057,4622.73646229885,67,
,A10,SYBR,mCherry,Unkn-19,Well10,Supernatant,33.9577873225544,33.4105167826149,0.474371224854528,33.3534447708402,1.52314069485551,48.4061799744217,13.0550313113081,67,
,A11,SYBR,mCherry,Unkn-21,Well11,Supernatant,26.3585151221328,25.4297054099506,0.845139713983035,3992.82711588461,3.6012805062267,7816.53535968038,3666.70850192544,67,
,A12,SYBR,mCherry,Unkn-23,Well12,Supernatant,35.0086182164643,34.5800974292991,0.3860462760197,17.2097497532039,1.23577455530183,22.9725174666572,5.28161075325785,67,
,B01,SYBR,mCherry,Unkn-01,Well1,Supernatant,36.5683892804981,37.5115237061543,0.846699361105027,6.44511644217242,0.809230768041031,3.92885802063477,2.2107915284883,67,
