Sample,Type,RNA_Yield_ug,RNA_conc_ng_uL,Vol_RNA_elution_uL,Vol_DNase_input,Vol_DNase_final,Before_RT_Dilution_Factor,Vol_RT_input,Vol_RT_final,Vol_qPCR_input
Well1,Supernatant,4.04,101,40,25,61,16.3,5,20,1
Well2,Supernatant,3.84,96,40,26,61,9.1,5,20,1
Well3,Supernatant,4,100,40,25,61,8.7,5,20,1
Well4,Supernatant,4.4,110,40,23,61,2.1,5,20,1
Well5,Supernatant,4.76,119,40,21,61,12,5,20,1
Well6,Supernatant,3.88,97,40,26,61,8.4,5,20,1
Well7,Supernatant,4.8,120,40,21,61,36.7,5,20,1
Well8,Supernatant,4.36,109,40,23,61,7.9,5,20,1
Well9,Supernatant,4.72,118,40,21,61,7.6,5,20,1
Well10,Supernatant,4.44,111,40,23,61,8,5,20,1
Well11,Supernatant,4.4,110,40,23,61,10.3,5,20,1
Well12,Supernatant,5,125,40,20,61,2.1,5,20,1
Well13,Supernatant,4.52,113,40,22,61,38.6,5,20,1
Well14,Supernatant,4.12,103,40,24,61,8.3,5,20,1
Well15,Supernatant,5,125,40,20,61,16.6,5,20,1
Well16,Supernatant,4.56,114,40,22,61,8.3,5,20,1
Well17,Supernatant,4.4,110,40,23,61,10.6,5,20,1
Well18,Supernatant,4.84,121,40,21,61,9.6,5,20,1
Well19,Supernatant,3.32,83,40,25,61,9.9,5,20,1
Well20,Supernatant,3.6,90,40,28,61,17.6,5,20,1
Well21,Supernatant,4.44,111,40,23,61,8.6,5,20,1
Well22,Supernatant,4.2,105,40,24,61,19.6,5,20,1
Well23,Supernatant,4.24,106,40,24,61,1,5,20,1
Well24,Supernatant,4.32,108,40,23,61,14.7,5,20,1
Well1,Cells,1.4,35,40,29,61,22.9,5,20,1
Well2,Cells,22.4,560,40,2,61,27.1,5,20,1
Well3,Cells,21.4,535,40,2,61,45.7,5,20,1
Well4,Cells,18.24,456,40,2,61,24.3,5,20,1
Well5,Cells,17.84,446,40,2,61,24.3,5,20,1
Well6,Cells,18.2,455,40,2,61,20,5,20,1
Well7,Cells,19.68,492,40,2,61,27.1,5,20,1
Well8,Cells,4.48,112,40,9,61,21.4,5,20,1
Well9,Cells,17.56,439,40,2,61,22.9,5,20,1
Well10,Cells,19.4,485,40,2,61,22.9,5,20,1
Well11,Cells,13.56,339,40,3,61,25.7,5,20,1
Well12,Cells,17,425,40,2,61,28.6,5,20,1
Well13,Cells,2.72,68,40,15,61,21.4,5,20,1
Well14,Cells,8.56,214,40,5,61,24.3,5,20,1
Well15,Cells,10.28,257,40,4,61,24.3,5,20,1
Well16,Cells,1.56,39,40,26,61,21.4,5,20,1
Well17,Cells,4.52,113,40,9,61,22.9,5,20,1
Well18,Cells,9.08,227,40,4,61,27.1,5,20,1
Well19,Cells,12.72,318,40,3,61,27.1,5,20,1
Well20,Cells,17.44,436,40,2,61,52.9,5,20,1
Well21,Cells,14.56,364,40,3,61,25.7,5,20,1
Well22,Cells,13.68,342,40,3,61,25.7,5,20,1
Well23,Cells,17.48,437,40,2,61,41.4,5,20,1
Well24,Cells,22.92,573,40,2,61,27.1,5,20,1
