Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev
A01,SYBR,mCherry,Unkn-01,95A-1,21.53683253,21.46609035,0.096997409,29483.11823,4.469573414,30959.91182,2046.38807
A02,SYBR,mCherry,Unkn-02,95A-2,21.1885379,21.15694623,0.09767702,37241.78602,4.5710305,38094.30808,2529.62292
A03,SYBR,mCherry,Unkn-03,95A-3,20.59665375,20.61289877,0.025250129,55391.66533,4.743444422,54796.61002,923.5557992
A04,SYBR,mCherry,Unkn-04,95A-4,19.87019082,19.95700128,0.07954974,90169.71613,4.955060702,85150.54434,4579.413284
B01,SYBR,mCherry,Unkn-01,95A-1,21.50592003,21.46609035,0.096997409,30100.80598,4.478578124,30959.91182,2046.38807
B02,SYBR,mCherry,Unkn-02,95A-2,21.23491752,21.15694623,0.09767702,36101.08636,4.557520271,38094.30808,2529.62292
B03,SYBR,mCherry,Unkn-03,95A-3,20.60005359,20.61289877,0.025250129,55265.49427,4.742454058,54796.61002,923.5557992
B04,SYBR,mCherry,Unkn-04,95A-4,20.0264088,19.95700128,0.07954974,81199.79159,4.909554915,85150.54434,4579.413284
C01,SYBR,mCherry,Unkn-01,95A-1,21.35551849,21.46609035,0.096997409,33295.81125,4.522389601,30959.91182,2046.38807
C02,SYBR,mCherry,Unkn-02,95A-2,21.04738326,21.15694623,0.09767702,40940.05184,4.612148388,38094.30808,2529.62292
C03,SYBR,mCherry,Unkn-03,95A-3,20.64198895,20.61289877,0.025250129,53732.67047,4.730238425,54796.61002,923.5557992
C04,SYBR,mCherry,Unkn-04,95A-4,19.97440421,19.95700128,0.07954974,84082.12529,4.924703681,85150.54434,4579.413284
G09,SYBR,mCherry,Unkn-25,NTC,34.39624181,33.67303972,2.003368182,5.292604917,0.723669476,14.87073498,12.9496805
G10,SYBR,mCherry,Unkn-25,NTC,NaN,0,0,NaN,NaN,0,0
G11,SYBR,mCherry,Unkn-25,NTC,37.28396676,33.67303972,2.003368182,0.762929888,-0.117515371,14.87073498,12.9496805
G12,SYBR,mCherry,Unkn-25,NTC,31.80888383,33.67303972,2.003368182,30.01638651,1.477358409,14.87073498,12.9496805
H09,SYBR,mCherry,Unkn-25,NTC,31.71871347,33.67303972,2.003368182,31.88781336,1.503624739,14.87073498,12.9496805
H10,SYBR,mCherry,Unkn-25,NTC,34.75774586,33.67303972,2.003368182,4.153024838,0.618364529,14.87073498,12.9496805
H11,SYBR,mCherry,Unkn-25,NTC,33.49232594,33.67303972,2.003368182,9.704590592,0.986977219,14.87073498,12.9496805
H12,SYBR,mCherry,Unkn-25,NTC,32.25340035,33.67303972,2.003368182,22.27779477,1.347872199,14.87073498,12.9496805
