Well,Content,Sample,id,Transfected,Time,color,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev
A01,Unkn-01,Well 1,GagMCP_mCh-MSx8_0h,GagMCP_mCh-MS2x8,0,#756bb1,29.32602197,29.26401444,0.167170657,12784.747,4.106692138,13407.40256,1593.94959
A02,Unkn-02,Well 2,GagMCP_mCh-MSx8_18h,GagMCP_mCh-MS2x8,18,#756bb1,21.05268645,21.05116702,0.122507049,3964571.219,6.598196224,3978307.872,337914.4092
A03,Unkn-03,Well 3,GagMCP_mCh-MSx8_24h,GagMCP_mCh-MS2x8,24,#756bb1,20.65493871,20.53890686,0.131135995,5223690.403,6.717977429,5677104.563,522393.3302
A05,Unkn-05,Well 5,mCh-MSx8_0h,mCh-MS2x8,0,#969696,33.90060883,34.94133226,1.210660304,535.8723358,2.729061337,319.1550294,216.1195169
A06,Unkn-06,Well 6,mCh-MSx8_18h,mCh-MS2x8,18,#969696,28.48039198,30.71177032,2.188982184,22980.13068,4.361352494,9563.05569,11750.36292
A07,Unkn-07,Well 7,mCh-MSx8_24h,mCh-MS2x8,24,#969696,31.63412822,32.85345684,1.554264681,2579.936311,3.411608985,1503.192842,1128.557916
A09,Unkn-09,Well 9,Blank,,0,#525252,27.23676162,31.03142107,3.347780771,54433.98634,4.73587014,18915.43256,30763.73137
B01,Unkn-01,Well 1,GagMCP_mCh-MSx8_0h,GagMCP_mCh-MS2x8,0,#756bb1,29.39132153,29.26401444,0.167170657,12218.76356,4.087027261,13407.40256,1593.94959
B02,Unkn-02,Well 2,GagMCP_mCh-MSx8_18h,GagMCP_mCh-MS2x8,18,#756bb1,21.17290728,21.05116702,0.122507049,3647471.258,6.561991878,3978307.872,337914.4092
B03,Unkn-03,Well 3,GagMCP_mCh-MSx8_24h,GagMCP_mCh-MS2x8,24,#756bb1,20.56514713,20.53890686,0.131135995,5559273.56,6.745018045,5677104.563,522393.3302
B05,Unkn-05,Well 5,mCh-MSx8_0h,mCh-MS2x8,0,#969696,34.65338128,34.94133226,1.210660304,317.9544483,2.502364905,319.1550294,216.1195169
B06,Unkn-06,Well 6,mCh-MSx8_18h,mCh-MS2x8,18,#969696,30.7991813,30.71177032,2.188982184,4603.11844,3.66305215,9563.05569,11750.36292
B07,Unkn-07,Well 7,mCh-MSx8_24h,mCh-MS2x8,24,#969696,32.32265327,32.85345684,1.554264681,1600.518044,3.204260575,1503.192842,1128.557916
B09,Unkn-09,Well 9,Blank,,0,#525252,32.28995834,31.03142107,3.347780771,1637.218363,3.214106607,18915.43256,30763.73137
C01,Unkn-01,Well 1,GagMCP_mCh-MSx8_0h,GagMCP_mCh-MS2x8,0,#756bb1,29.07469982,29.26401444,0.167170657,15218.69712,4.182377474,13407.40256,1593.94959
