Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point
D01,SYBR,mCherry,Unkn-13,100-1,,28.30018091,28.08156618,0.191334825,564.5949758,2.751737009,655.2965096,79.57709022,67
D02,SYBR,mCherry,Unkn-14,100-2,,27.0050286,26.71515931,0.252773797,1323.654857,3.121774758,1616.098581,255.5783166,67
D03,SYBR,mCherry,Unkn-15,100-3,,28.98727214,28.92424074,0.082522245,359.2760693,2.555428291,374.8583785,20.60481763,67
D04,SYBR,mCherry,Unkn-16,100-4,,26.98394583,26.91521885,0.228192395,1342.141518,3.127798311,1415.00292,218.2106487,67
D05,SYBR,mCherry,Unkn-17,100-5,,31.67688048,31.69338672,0.465606466,61.23232411,1.786980744,62.46986898,18.76442302,67
D06,SYBR,mCherry,Unkn-18,100-6,,30.75488922,30.46471812,0.281375464,112.3059356,2.05040271,137.4750702,25.1106773,67
D07,SYBR,mCherry,Unkn-19,100-7,,33.02348273,32.9251926,0.594566326,25.24894524,1.40224324,28.37058442,11.36706121,67
D08,SYBR,mCherry,Unkn-20,100-8,,32.01883462,31.92787853,0.085422707,48.8968728,1.689281085,51.96648816,2.901658971,67
E01,SYBR,mCherry,Unkn-13,100-1,,27.94460531,28.08156618,0.191334825,713.3923585,2.853328453,655.2965096,79.57709022,67
E02,SYBR,mCherry,Unkn-14,100-2,,26.54061997,26.71515931,0.252773797,1796.639198,3.254460871,1616.098581,255.5783166,67
E03,SYBR,mCherry,Unkn-15,100-3,,28.95461368,28.92424074,0.082522245,367.0786551,2.564759132,374.8583785,20.60481763,67
E04,SYBR,mCherry,Unkn-16,100-4,,27.10114885,26.91521885,0.228192395,1242.545375,3.094312257,1415.00292,218.2106487,67
E05,SYBR,mCherry,Unkn-17,100-5,,32.16702681,31.69338672,0.465606466,44.3548502,1.646941117,62.46986898,18.76442302,67
E06,SYBR,mCherry,Unkn-18,100-6,,30.44621338,30.46471812,0.281375464,137.592396,2.138594433,137.4750702,25.1106773,67
E07,SYBR,mCherry,Unkn-19,100-7,,33.46448903,32.9251926,0.594566326,18.89049791,1.276243405,28.37058442,11.36706121,67
E08,SYBR,mCherry,Unkn-20,100-8,,31.91545018,31.92787853,0.085422707,52.33823053,1.718819036,51.96648816,2.901658971,67
F01,SYBR,mCherry,Unkn-13,100-1,,27.99991233,28.08156618,0.191334825,687.9021946,2.837526695,655.2965096,79.57709022,67
F02,SYBR,mCherry,Unkn-14,100-2,,26.59982937,26.71515931,0.252773797,1728.00169,3.237544163,1616.098581,255.5783166,67
