Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev
A01,SYBR,mCherry,Unkn-01,24-1,24.39738669,24.18035664,0.191847116,2072.255424,3.316443285,2423.762559,312.2430397
A02,SYBR,mCherry,Unkn-02,24-2,23.99518943,23.62817674,0.317983583,2740.825831,3.437881439,3592.909938,738.4014931
A03,SYBR,mCherry,Unkn-03,24-3,23.07636411,23.04529403,0.076593182,5191.688355,3.715308615,5310.114831,286.4615645
A04,SYBR,mCherry,Unkn-04,24-4,23.12244924,22.82402889,0.300628988,5027.983197,3.701393818,6277.814385,1307.92721
A05,SYBR,mCherry,Unkn-05,24-5,22.9503098,22.99264871,0.04102926,5667.20663,3.753369048,5504.314857,157.2191006
A06,SYBR,mCherry,Unkn-06,24-6,20.35328871,20.38640495,0.240967323,34475.07999,4.537505283,34002.76241,5580.451879
A07,SYBR,mCherry,Unkn-07,24-7,20.7196024,20.61024165,0.106174691,26724.01459,4.4269017,28887.3935,2123.510264
A08,SYBR,mCherry,Unkn-08,24-8,20.15430432,19.90806453,0.238840596,39590.04489,4.597585994,47412.83488,7782.848301
B01,SYBR,mCherry,Unkn-01,24-1,24.11029657,24.18035664,0.191847116,2530.033995,3.403126357,2423.762559,312.2430397
B02,SYBR,mCherry,Unkn-02,24-2,23.43519266,23.62817674,0.317983583,4045.433521,3.606965069,3592.909938,738.4014931
B03,SYBR,mCherry,Unkn-03,24-3,22.95804774,23.04529403,0.076593182,5636.800695,3.751032679,5310.114831,286.4615645
B04,SYBR,mCherry,Unkn-04,24-4,22.82839855,22.82402889,0.300628988,6168.485409,3.790178542,6277.814385,1307.92721
B05,SYBR,mCherry,Unkn-05,24-5,23.03222911,22.99264871,0.04102926,5353.460409,3.728634595,5504.314857,157.2191006
B06,SYBR,mCherry,Unkn-06,24-6,20.16370852,20.38640495,0.240967323,39332.04432,4.59474652,34002.76241,5580.451879
