,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,95B-1,,19.6687770359737,19.8412789048639,0.177076096676719,59300.9283048605,4.77306149192283,52941.7744744569,6389.88811700745,67,
,A02,SYBR,mCherry,Unkn-02,95B-2,,18.9942188501467,19.132173798228,0.120362259450766,94192.961119703,4.97401844991507,85885.7911594466,7240.68584964087,67,
,A03,SYBR,mCherry,Unkn-03,95B-3,,19.6877116422894,19.0770214184182,0.535269870762841,58535.6846287671,4.7674207021942,92780.8095237756,30301.0156012798,67,
,A04,SYBR,mCherry,Unkn-04,95B-4,,20.4633578852066,19.6289861285112,0.754684154950597,34383.3906609067,4.53634870169115,66154.4954614635,30083.4494893571,67,
,A05,SYBR,mCherry,Unkn-05,95B-5,,20.2483762408103,19.9247979586058,0.2828334705836,39846.8201378104,4.60039366947858,50354.4148340909,9216.37629767221,67,
,A11,SYBR,mCherry,Unkn-11,95B-11,,20.7487044820347,20.8644325981816,0.249955764084235,28271.0136921249,4.45134138093393,26362.0180964062,4289.71659714458,67,
,A12,SYBR,mCherry,Unkn-12,95B-12,,22.67364235409,23.0183699091704,0.460667699963033,7548.92402799507,3.8778850546749,6148.80044349755,1767.9035331015,67,
,B01,SYBR,mCherry,Unkn-01,95B-1,,19.8324600074153,19.8412789048639,0.177076096676719,53002.8058461082,4.72429886075602,52941.7744744569,6389.88811700745,67,
,B02,SYBR,mCherry,Unkn-02,95B-2,,19.1865431332697,19.132173798228,0.120362259450766,82551.1854292083,4.91672331408176,85885.7911594466,7240.68584964087,67,
,B03,SYBR,mCherry,Unkn-03,95B-3,,18.6891722314463,19.0770214184182,0.535269870762841,116116.673200333,5.06489458458786,92780.8095237756,30301.0156012798,67,
,B04,SYBR,mCherry,Unkn-04,95B-4,,19.4295524084889,19.6289861285112,0.754684154950597,69876.1008052666,4.84432866268177,66154.4954614635,30083.4494893571,67,
,B05,SYBR,mCherry,Unkn-05,95B-5,,19.8013180010833,19.9247979586058,0.2828334705836,54147.2425267224,4.73357634487785,50354.4148340909,9216.37629767221,67,
,B11,SYBR,mCherry,Unkn-11,95B-11,,21.1512794860671,20.8644325981816,0.249955764084235,21449.1784303572,4.33141066202211,26362.0180964062,4289.71659714458,67,
,B12,SYBR,mCherry,Unkn-12,95B-12,,23.5415711339215,23.0183699091704,0.460667699963033,4162.18380847949,3.61932125541566,6148.80044349755,1767.9035331015,67,
,C01,SYBR,mCherry,Unkn-01,95B-1,,20.0225996712028,19.8412789048639,0.177076096676719,46521.5892724021,4.66765454269538,52941.7744744569,6389.88811700745,67,
,C02,SYBR,mCherry,Unkn-02,95B-2,,19.2157594112676,19.132173798228,0.120362259450766,80913.2269294286,4.90801952177196,85885.7911594466,7240.68584964087,67,
,C03,SYBR,mCherry,Unkn-03,95B-3,,18.8541803815188,19.0770214184182,0.535269870762841,103690.070742227,5.0157371707736,92780.8095237756,30301.0156012798,67,
,C04,SYBR,mCherry,Unkn-04,95B-4,,18.9940480918383,19.6289861285112,0.754684154950597,94203.9949182171,4.97406932035285,66154.4954614635,30083.4494893571,67,
,C05,SYBR,mCherry,Unkn-05,95B-5,,19.7246996339239,19.9247979586058,0.2828334705836,57069.1818377399,4.75640164640734,50354.4148340909,9216.37629767221,67,
,C11,SYBR,mCherry,Unkn-11,95B-11,,20.693313826443,20.8644325981816,0.249955764084235,29365.8621667364,4.46784275603065,26362.0180964062,4289.71659714458,67,
,C12,SYBR,mCherry,Unkn-12,95B-12,,22.8398962394997,23.0183699091704,0.460667699963033,6735.2934940181,3.82835652508578,6148.80044349755,1767.9035331015,67,
,D01,SYBR,mCherry,Unkn-13,95B-13,,21.828766418632,21.8174813789517,0.556049095955513,13476.6268658067,4.12958120400313,14250.5969695912,5368.56128159231,67,
,D02,SYBR,mCherry,Unkn-14,95B-14,,22.7599990816354,23.009205557627,0.512579482765681,7114.73302072981,3.85215860789195,6230.16257718445,1943.13262128945,67,
,D03,SYBR,mCherry,Unkn-15,95B-15,,22.0725599716381,22.3767289576418,0.28485454239837,11401.2615629335,4.05695290918798,9374.06693188623,1862.06110918526,67,
,E01,SYBR,mCherry,Unkn-13,95B-13,,22.3678020620507,21.8174813789517,0.556049095955513,9311.0279812949,3.96899763178242,14250.5969695912,5368.56128159231,67,
,E02,SYBR,mCherry,Unkn-14,95B-14,,23.5987387101209,23.009205557627,0.512579482765681,4002.1238081036,3.60229051966864,6230.16257718445,1943.13262128945,67,
