,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,mCherry,Unkn-01,Well1,Supernatant,34.5168779401125,33.8551510080875,0.584875352010654,15.3477786402722,1.18604552677846,24.1178394354532,7.87098876995406,67,
,A02,SYBR,mCherry,Unkn-03,Well2,Supernatant,25.5104099680077,25.3344501976998,0.214982712059738,4121.64938493851,3.61507104502135,4625.40480201733,632.49125371396,67,
,A03,SYBR,mCherry,Unkn-05,Well3,Supernatant,23.3473366062345,23.1002137773468,0.257668923500623,15792.3729976047,4.1984473929806,18570.2291876208,2988.98832501752,67,
,A04,SYBR,mCherry,Unkn-07,Well4,Supernatant,22.5232692678299,22.4245499231695,0.244021878713238,26344.9043068002,4.42069662541387,28230.8377611598,4425.56208308235,67,
,A05,SYBR,mCherry,Unkn-09,Well5,Supernatant,22.0807451445944,21.6687215504332,0.363186597016881,34677.2343244632,4.54004445312019,45523.1402473683,9633.59182812301,67,
,A06,SYBR,mCherry,Unkn-11,Well6,Supernatant,21.8123668424105,21.7143595046579,0.117389090186033,40966.1846514878,4.61242551821324,43614.8065724762,3220.92344757711,67,
,B01,SYBR,mCherry,Unkn-01,Well1,Supernatant,33.6411946760073,33.8551510080875,0.584875352010654,26.4372005823251,1.42221546609291,24.1178394354532,7.87098876995406,67,
,B02,SYBR,mCherry,Unkn-03,Well2,Supernatant,25.3981152462215,25.3344501976998,0.214982712059738,4419.3326815935,3.6453566959144,4625.40480201733,632.49125371396,67,
,B03,SYBR,mCherry,Unkn-05,Well3,Supernatant,23.1201480238823,23.1002137773468,0.257668923500623,18185.2667990357,4.25971967704314,18570.2291876208,2988.98832501752,67,
,B04,SYBR,mCherry,Unkn-07,Well4,Supernatant,22.6037455954127,22.4245499231695,0.244021878713238,25060.6498589206,4.39899232868861,28230.8377611598,4425.56208308235,67,
,B05,SYBR,mCherry,Unkn-09,Well5,Supernatant,21.5303996539548,21.6687215504332,0.363186597016881,48805.8046664752,4.68847147742692,45523.1402473683,9633.59182812301,67,
,B06,SYBR,mCherry,Unkn-11,Well6,Supernatant,21.7464491142002,21.7143595046579,0.117389090186033,42677.9343703548,4.63020339122886,43614.8065724762,3220.92344757711,67,
,C01,SYBR,mCherry,Unkn-01,Well1,Supernatant,33.4073804081428,33.8551510080875,0.584875352010654,30.5685390837624,1.4852746836387,24.1178394354532,7.87098876995406,67,
,C02,SYBR,mCherry,Unkn-03,Well2,Supernatant,25.0948253788703,25.3344501976998,0.214982712059738,5335.23233951999,3.72715333689532,4625.40480201733,632.49125371396,67,
,C03,SYBR,mCherry,Unkn-05,Well3,Supernatant,22.8331567019237,23.1002137773468,0.257668923500623,21733.0477662222,4.3371206345229,18570.2291876208,2988.98832501752,67,
,C04,SYBR,mCherry,Unkn-07,Well4,Supernatant,22.1466349062658,22.4245499231695,0.244021878713238,33286.9591177587,4.52227412262143,28230.8377611598,4425.56208308235,67,
,C05,SYBR,mCherry,Unkn-09,Well5,Supernatant,21.3950198527502,21.6687215504332,0.363186597016881,53086.3817511666,4.72498312581107,45523.1402473683,9633.59182812301,67,
,C06,SYBR,mCherry,Unkn-11,Well6,Supernatant,21.5842625573629,21.7143595046579,0.117389090186033,47200.3006955861,4.67394476537175,43614.8065724762,3220.92344757711,67,
,G02,SYBR,mCherry,Std-02,,,8.69015271914434,8.69070372465699,0.000779239468923922,155000000,8.19033169817029,155000000,0,67,
,G03,SYBR,mCherry,Std-03,,,11.2318495045615,11.2281300956699,0.00526003849853558,15500000,7.19033169817029,15500000,0,67,
,G04,SYBR,mCherry,Std-04,,,15.7474816995893,15.9089736605051,0.228384121341445,1550000,6.19033169817029,1550000,0,67,
,G05,SYBR,mCherry,Std-05,,,20.5473619068097,20.4063531513898,0.199416494328158,155000,5.19033169817029,155000,0,67,
,G06,SYBR,mCherry,Std-06,,,24.2317740786825,24.1195989914636,0.158639529705264,15500,4.19033169817029,15500,0,67,
,G07,SYBR,mCherry,Std-07,,,27.1454217498704,27.3466713406191,0.284609900658963,1550,3.19033169817029,1550,0,67,
,G08,SYBR,mCherry,Std-08,,,30.5039904423657,30.5021366003681,0.00262172849545906,155,2.19033169817029,155,0,67,
,G09,SYBR,mCherry,Std-09,,,33.6376249854244,33.9854502761513,0.49189924348236,15.5,1.19033169817029,15.5,0,67,
,G11,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,G12,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,H02,SYBR,mCherry,Std-02,,,8.69125473016963,8.69070372465699,0.000779239468923922,155000000,8.19033169817029,155000000,0,67,
,H03,SYBR,mCherry,Std-03,,,11.2244106867782,11.2281300956699,0.00526003849853558,15500000,7.19033169817029,15500000,0,67,
,H04,SYBR,mCherry,Std-04,,,16.070465621421,15.9089736605051,0.228384121341445,1550000,6.19033169817029,1550000,0,67,
,H05,SYBR,mCherry,Std-05,,,20.2653443959699,20.4063531513898,0.199416494328158,155000,5.19033169817029,155000,0,67,
,H06,SYBR,mCherry,Std-06,,,24.0074239042448,24.1195989914636,0.158639529705264,15500,4.19033169817029,15500,0,67,
,H07,SYBR,mCherry,Std-07,,,27.5479209313679,27.3466713406191,0.284609900658963,1550,3.19033169817029,1550,0,67,
,H08,SYBR,mCherry,Std-08,,,30.5002827583706,30.5021366003681,0.00262172849545906,155,2.19033169817029,155,0,67,
,H09,SYBR,mCherry,Std-09,,,34.3332755668782,33.9854502761513,0.49189924348236,15.5,1.19033169817029,15.5,0,67,
,H11,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
,H12,SYBR,mCherry,NTC-01,,,NaN,0,0,NaN,NaN,0,0,67,
