symbol	sFH14_1	sFH14_2	sFH14_3	sFH14_4	sFH14_5	sFH14_6	sFH14_7	sFH14_8
EGFP	60400	821	1067	12295	0	0	0	0
ENSG00000000003	6759	3981	52	83	26	41	23	14
ENSG00000000005	7	0	0	0	0	0	0	0
ENSG00000000419	819	296	0	74	14	15	13	21
ENSG00000000457	96	0	21	10	5	0	0	23
ENSG00000000460	242	2	0	3	0	4	0	0
ENSG00000000938	0	0	0	0	0	0	6	0
ENSG00000000971	0	0	0	0	0	0	0	0
ENSG00000001036	802	112	0	14	0	18	0	0
ENSG00000001084	103	6	24	13	0	5	16	0
ENSG00000001167	5797	877	31	38	4	9	30	14
ENSG00000001460	112	6	11	21	0	0	18	0
ENSG00000001461	2412	532	27	21	5	13	0	5
ENSG00000001497	1281	2567	34	241	47	22	60	16
ENSG00000001561	104	3	0	4	0	0	0	0
ENSG00000001617	5	5	8	6	0	4	0	0
ENSG00000001626	0	0	0	0	0	0	0	0
ENSG00000001629	316	87	0	62	0	15	10	0
ENSG00000001630	73	0	0	23	0	0	5	0
ENSG00000001631	228	21	15	15	10	0	0	10
ENSG00000002016	175	6	3	0	7	12	0	0
ENSG00000002079	0	0	0	0	0	0	0	0
ENSG00000002330	294	0	0	0	0	4	0	2
ENSG00000002549	492	282	8	64	0	28	8	11
ENSG00000002586	2185	583	5	5	8	75	13	0
ENSG00000002587	0	0	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0	0	0
ENSG00000002746	10	0	0	0	0	0	0	0
ENSG00000002822	85	30	0	0	0	0	0	1
ENSG00000002834	2500	218	0	26	35	6	4	14
ENSG00000002919	542	98	31	10	0	0	0	0
ENSG00000002933	0	0	0	0	0	0	0	0
ENSG00000003056	973	67	7	2	13	22	0	0
ENSG00000003096	227	28	0	11	11	0	0	0
ENSG00000003137	105	17	0	0	2	0	0	0
ENSG00000003147	122	22	5	12	0	0	0	0
ENSG00000003249	93	0	7	5	0	16	1	0
ENSG00000003393	1019	623	29	7	8	1	13	0
ENSG00000003400	44	0	0	0	0	0	0	0
ENSG00000003402	388	29	13	21	0	12	1	9
ENSG00000003436	27	0	0	0	0	0	1	15
ENSG00000003509	399	578	5	58	0	7	1	1
ENSG00000003756	928	173	34	156	10	58	30	39
ENSG00000003987	39	0	0	0	0	0	0	0
ENSG00000003989	663	50	0	0	12	21	0	0
ENSG00000004059	342	33	0	24	29	0	0	28
ENSG00000004139	116	6	6	1	0	1	3	0
ENSG00000004142	891	53	8	22	2	2	23	0
ENSG00000004399	203	15	12	6	0	9	1	0
ENSG00000004455	1299	208	40	168	33	35	41	22
ENSG00000004468	3	0	0	0	0	0	0	0
ENSG00000004478	4057	4148	71	469	147	216	69	72
ENSG00000004487	5801	1594	13	205	30	79	66	34
ENSG00000004534	4205	928	7	85	68	43	44	8
ENSG00000004660	601	82	0	23	15	0	0	0
ENSG00000004700	561	95	20	14	11	21	3	6
ENSG00000004766	238	155	0	1	6	12	0	0
ENSG00000004776	0	0	0	0	0	0	0	0
ENSG00000004777	51	0	0	0	5	0	0	0
ENSG00000004779	5410	3395	65	161	49	151	50	22
ENSG00000004799	32	0	0	0	0	1	0	0
ENSG00000004809	0	0	0	0	0	0	0	0
ENSG00000004838	4	0	0	0	0	0	13	0
ENSG00000004846	4	0	0	0	0	0	0	0
ENSG00000004848	0	0	0	0	0	0	0	0
ENSG00000004864	3080	575	0	48	21	13	19	5
ENSG00000004866	137	27	0	6	0	20	0	0
ENSG00000004897	3458	204	21	66	93	38	40	20
ENSG00000004939	0	7	0	0	0	0	11	1
ENSG00000004948	4	0	0	0	0	0	0	0
ENSG00000004961	941	3808	15	91	8	5	2	1
ENSG00000004975	281	1	0	52	0	33	1	0
ENSG00000005001	0	0	0	0	0	0	0	0
ENSG00000005007	945	111	5	19	63	14	1	0
ENSG00000005020	466	110	1	6	25	6	1	1
ENSG00000005022	5779	538	126	635	243	246	169	139
ENSG00000005059	706	29	0	29	16	0	0	0
ENSG00000005073	175	11	0	0	0	0	11	0
ENSG00000005075	569	50	14	246	96	55	24	45
ENSG00000005100	1270	131	5	78	41	15	32	30
ENSG00000005102	1	0	0	0	0	0	0	6
ENSG00000005108	10	0	0	0	0	0	0	0
ENSG00000005156	659	98	6	43	0	2	16	0
ENSG00000005175	1078	54	75	215	43	50	55	30
ENSG00000005187	8	0	0	0	0	0	0	0
ENSG00000005189	45	2	41	0	0	0	0	17
ENSG00000005194	408	22	10	51	2	1	0	0
ENSG00000005206	48	13	1	0	0	0	0	0
ENSG00000005238	14	14	0	3	0	1	0	0
ENSG00000005243	0	0	0	0	0	0	0	0
ENSG00000005249	646	1164	23	9	11	0	0	18
ENSG00000005302	1155	360	5	12	0	0	31	0
ENSG00000005339	2080	348	57	157	41	84	46	9
ENSG00000005379	0	0	0	0	0	0	0	0
ENSG00000005381	0	0	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0	0	0
ENSG00000005436	584	20	9	75	34	44	59	16
ENSG00000005448	286	27	11	12	0	0	9	11
ENSG00000005469	74	23	0	0	0	0	0	3
ENSG00000005471	32	3	0	0	0	0	1	0
ENSG00000005483	1418	460	5	104	31	67	4	2
ENSG00000005486	245	2	34	2	2	0	8	0
ENSG00000005513	58	0	0	0	2	0	0	0
ENSG00000005700	3301	6392	82	25	26	35	13	6
ENSG00000005801	243	41	8	56	0	7	2	7
ENSG00000005810	4702	865	30	140	41	44	35	14
ENSG00000005812	3194	414	67	108	52	174	63	4
ENSG00000005844	4	0	0	0	0	0	0	0
ENSG00000005882	65	0	0	8	7	0	1	0
ENSG00000005884	4	0	0	1	0	6	0	0
ENSG00000005889	2499	1939	40	54	11	59	51	2
ENSG00000005893	441	92	9	4	25	8	13	0
ENSG00000005961	16	5	0	1	0	0	0	0
ENSG00000005981	0	0	0	0	0	0	0	0
ENSG00000006007	874	151	10	27	4	5	13	12
ENSG00000006015	221	32	36	5	0	2	0	3
ENSG00000006016	47	33	0	0	0	0	0	0
ENSG00000006025	4	0	0	0	0	0	0	0
ENSG00000006042	714	200	0	5	0	20	0	0
ENSG00000006047	0	0	0	0	0	0	0	0
ENSG00000006059	0	0	0	0	0	0	0	0
ENSG00000006062	52	0	24	8	0	11	0	2
ENSG00000006071	9	0	0	0	0	0	0	0
ENSG00000006116	0	0	0	0	0	0	0	0
ENSG00000006118	115	6	1	6	0	0	0	0
ENSG00000006125	1804	59	7	38	17	11	14	33
ENSG00000006128	7	0	0	0	0	0	0	0
ENSG00000006194	323	45	2	2	0	13	8	0
ENSG00000006210	0	0	0	0	0	0	0	0
ENSG00000006282	101	4	0	0	0	1	0	0
ENSG00000006283	3	0	0	0	0	0	0	0
ENSG00000006327	315	1	10	39	0	24	5	3
ENSG00000006377	7	0	0	0	0	0	0	0
ENSG00000006432	4878	221	0	6	1	8	0	11
ENSG00000006451	2050	404	3	104	29	29	9	21
ENSG00000006453	524	15	31	45	8	0	7	42
ENSG00000006459	3614	240	4	18	1	4	14	14
ENSG00000006468	144	35	0	0	0	0	0	0
ENSG00000006530	436	45	40	60	26	26	4	5
ENSG00000006534	7	3	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	0
ENSG00000006576	885	189	0	10	5	19	12	1
ENSG00000006606	0	0	0	0	0	0	0	0
ENSG00000006607	1025	82	2	44	3	0	17	9
ENSG00000006611	14	2	0	0	0	3	0	0
ENSG00000006625	6138	3055	0	52	26	52	35	13
ENSG00000006634	329	37	46	94	35	2	19	15
ENSG00000006638	9	0	0	0	0	0	0	0
ENSG00000006652	49	22	1	21	0	9	0	4
ENSG00000006659	0	0	0	0	0	0	0	0
ENSG00000006695	517	9	0	11	0	0	6	8
ENSG00000006704	65	5	1	4	0	11	0	2
ENSG00000006712	1931	558	12	141	77	51	33	0
ENSG00000006715	797	744	5	32	14	8	4	0
ENSG00000006740	218	158	0	0	3	0	0	0
ENSG00000006744	928	95	29	153	3	10	31	6
ENSG00000006747	3	7	0	0	0	0	0	0
ENSG00000006756	0	0	0	0	0	0	0	0
ENSG00000006757	21	0	0	3	0	0	0	0
ENSG00000006788	0	0	0	0	0	0	0	0
ENSG00000006831	1202	151	5	5	8	7	5	0
ENSG00000006837	31	0	0	4	0	0	0	0
ENSG00000007001	1	0	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	0	0	0
ENSG00000007047	215	65	30	6	1	4	5	0
ENSG00000007062	4	0	0	0	0	0	0	0
ENSG00000007080	943	76	39	89	28	39	36	26
ENSG00000007129	0	0	0	0	0	0	0	0
ENSG00000007168	11178	1050	49	98	4	9	34	35
ENSG00000007171	4	0	0	0	0	0	0	11
ENSG00000007174	0	0	0	0	0	0	0	0
ENSG00000007202	1999	607	19	64	79	66	10	4
ENSG00000007216	0	0	0	0	0	0	0	0
ENSG00000007237	143	42	0	0	0	0	0	0
